title,company,location,posted_date,salary,description,url,source,keyword
Data Scientist,Mane Consulting,Sydney NSW,Posted 3mo ago,,Data Scientist,https://au.jora.com/job/Data-Scientist-e77456218339dbeb1e87440e196b153c?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=8910448f2cdff5177b36de043f31af6f&sp=sserp&sponsored=true&sq=data+analyst&sr=31&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Data Reporting Analyst,PRA,Sydney NSW,Posted 21d ago,,Data Reporting Analyst,https://au.jora.com/job/Data-Reporting-Analyst-94cde86929db548936f9718c9be0abd6?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=575e79539048d6346d9a073e42f7d651&sp=sserp&sponsored=true&sq=data+analyst&sr=32&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Impact Data Analyst,University of New South Wales,Sydney NSW,Posted 12d ago,,Impact Data Analyst,https://au.jora.com/job/Data-Analyst-84a3d9a2a85c6ba4532aea982dd393a1?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=7afa550aea51a2a7d6d4ee87abe664a2&sp=serp&sponsored=false&sq=data+analyst&sr=33&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Analyst – Economics & Data Analytics,WSP,Sydney CBD NSW,Posted 8d ago,,Analyst – Economics & Data Analytics,https://au.jora.com/job/Analyst-09e27d7268503353908dc7337b2d76c2?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=db2f5c3ebc73b67843bdc5473d9c2d10&sp=serp&sponsored=false&sq=data+analyst&sr=34&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
"Business Process Analyst: Core and Data, TRELLiS",RACP,Sydney CBD NSW,Posted 20h ago,,"Business Process Analyst: Core and Data, TRELLiS",https://au.jora.com/job/Business-Process-Analyst-ec901f91df4accbdcd3f90a024c494dc?abstract_type=original&disallow=true&fsv=true&sl=Sydney&sol_key=e848d75ddbbea3643fe648fca8510b86&sp=serp&sponsored=false&sq=data+analyst&sr=35&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Rankings Analyst,UTS,Broadway NSW,Posted 6h ago,,Rankings Analyst,https://au.jora.com/job/Analyst-a9c4140b9495b96e48ea4586db166f95?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=5e8d165751401720e7a17c398f3ccd41&sp=serp&sponsored=false&sq=data+analyst&sr=36&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Schedule and Data Analyst [ Sydney],dnata catering,Sydney NSW,Posted 3mo ago,,Schedule and Data Analyst [ Sydney],https://au.jora.com/job/Data-Analyst-9c99b802f62a53127f16bdd0090bb993?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=9b3e54d99db185d2a510b0e7759117b0&sp=serp&sponsored=false&sq=data+analyst&sr=37&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Senior Data Analyst (AI Compliance),Binance,Sydney NSW,Posted 16d ago,,Senior Data Analyst (AI Compliance),https://au.jora.com/job/Data-Analyst-16653fafb08c8b70b19b8a7017c99802?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=e242e78f32a2b18fac6b70bae7bd5989&sp=serp&sponsored=false&sq=data+analyst&sr=38&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Business Intelligence Developer,Robert Half,Sydney CBD NSW,Posted 6d ago,,Business Intelligence Developer,https://au.jora.com/job/Business-Intelligence-Developer-6c5d975a82c200e579e93ffb01f81a12?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=494103a1eed9f54aa4014089647c9a27&sp=sserp&sponsored=true&sq=data+analyst&sr=39&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
"Data Analyst - SQL, Python, Microsoft Fabric (Data Engineering Focus)",Blake Oliver,Sydney NSW,Posted 18d ago,,"Data Analyst - SQL, Python, Microsoft Fabric (Data Engineering Focus)",https://au.jora.com/job/Data-Analyst-3d8b8c1612c71ff968701e37b923e1a4?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=2c80264c376e9630b809aa5ef87c483b&sp=sserp&sponsored=true&sq=data+analyst&sr=40&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Data Analyst - SQL & Power BI,The HR Ally,Sydney NSW,Posted 14d ago,,Data Analyst - SQL & Power BI,https://au.jora.com/job/Data-Analyst-762e1dfd4b1ffe88e0afee214527b33e?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=8858f4020046bdabca3af3d88ed1f9fa&sp=serp&sponsored=false&sq=data+analyst&sr=41&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Commercial / Estimation Analyst,Ventia,North Sydney NSW,Posted 17h ago,,Commercial / Estimation Analyst,https://au.jora.com/job/Analyst-afdfa872f55b1a2da65c41a9ead2fad6?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=2d2f5543a9a8851ac8a23da220b50707&sp=serp&sponsored=false&sq=data+analyst&sr=42&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
"Senior Statistician, Analytics and Insights",NSW Health,St Leonards NSW,Posted 3h ago,,"Senior Statistician, Analytics and Insights",https://au.jora.com/job/Statistician-bdf7d6ecb8b45fbcc0f5a5230a7e1d86?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=6b7623dfdcf8b38aecf0263380590e35&sp=serp&sponsored=false&sq=data+analyst&sr=43&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
"Data Analyst - SQL, Python, Microsoft Fabric",Tarkine Consulting Group,Sydney NSW,Posted 9d ago,,"Data Analyst - SQL, Python, Microsoft Fabric",https://au.jora.com/job/Data-Analyst-b196ec4c3d8e50b667515dc1deb2048b?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=ece814e8f189706d782b14f6a988b7fe&sp=serp&sponsored=false&sq=data+analyst&sr=44&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
"Data Analyst, Business Analytics",Herbert Smith Freehills,Sydney CBD NSW,Posted 19d ago,,"Data Analyst, Business Analytics",https://au.jora.com/job/Data-Analyst-895683069f117471127fb7fb5c653adb?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=debe50d77529fc65955795f04faf36f2&sp=serp&sponsored=false&sq=data+analyst&sr=45&tk=jicLLSwc5qF6xlO1LVgc-Fb9LjBcFyWeW1d63F6tE&trigger_source=serp,Jora (Selenium),data analyst
Business Analyst,Fujitsu,Sydney NSW,Posted 4d ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-e5d8a925af424b23b6f417e73d3be1ea?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=0d5b3c629726b0a21b924401b21b3323&sp=serp&sponsored=false&sq=business+analyst&sr=1&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
2027 RBA Payments Settlements Graduate Program - Business Analyst Specialisation,Reserve Bank of Australia,Sydney NSW,Posted 17h ago,,2027 RBA Payments Settlements Graduate Program - Business Analyst Specialisation,https://au.jora.com/job/Business-Analyst-57e6b3771807ddcdb2b51530fa68dd85?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=64a37662d26df66e9b5c75370e5395a7&sp=serp&sponsored=false&sq=business+analyst&sr=2&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
ServiceNow Business Analyst,Robert Walters,Sydney CBD NSW,Posted 23h ago,,ServiceNow Business Analyst,https://au.jora.com/job/ServiceNow-Business-Analyst-2c6dadb6b53ed5d8a07add1f7762cfae?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=01a42f26f042da4d714abdcbba97c43d&sp=serp&sponsored=false&sq=business+analyst&sr=3&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
Digital Business Analyst,Fantastic furniture,Sydney NSW,Posted 1d ago,,Digital Business Analyst,https://au.jora.com/job/Digital-Business-Analyst-2af2bc0b39e5bf937b542a110be14322?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=0d8df650517020fe2e5d7f96ce35c4f9&sp=serp&sponsored=false&sq=business+analyst&sr=4&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
Senior Business Analyst,IBC Recruitment,Sydney CBD NSW,Posted 5h ago,,Senior Business Analyst,https://au.jora.com/job/Business-Analyst-004ff42b2d9d83ae041165ec1365d5b4?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=f06419c9eb9415157884f539a2b21bb8&sp=serp&sponsored=false&sq=business+analyst&sr=5&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
Business Analyst,Plenti,Sydney CBD NSW,Posted 6d ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-cc06d91cf1c1d22a94ea919e592f972d?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=8189deb5ec7f87fb0dba6748bdee69f5&sp=serp&sponsored=false&sq=business+analyst&sr=6&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
Business Analyst,Globus family of brands,Sydney CBD NSW,Posted 4h ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-4f9376b177d57dbed9a56314751db5e9?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=f2a67d35c431587a3c546ebf5198e7ee&sp=serp&sponsored=false&sq=business+analyst&sr=7&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
Graduate Business Analyst - Claims (Feb 2026),TAL,Sydney NSW,Posted 22d ago,,Graduate Business Analyst - Claims (Feb 2026),https://au.jora.com/job/Business-Analyst-393b8e13967ee93e59af20f8d2ca6b08?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=568324e7865f3613ec575c2fc33eb11d&sp=serp&sponsored=false&sq=business+analyst&sr=8&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
Business Analyst,eTeam,Sydney NSW,Posted 6d ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-2608b0f476de549f9a496a58a864895f?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=829156196ac258e80a4752c5e370c72a&sp=serp&sponsored=false&sq=business+analyst&sr=9&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
Senior Business Analyst,Evolution Recruitment Solutions,Sydney CBD NSW,Posted 1d ago,,Senior Business Analyst,https://au.jora.com/job/Business-Analyst-6aa9ee6029910d797e9992bba1d7fd39?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=60f0aaf6b486a1c5dcb28c1d242f84d1&sp=serp&sponsored=false&sq=business+analyst&sr=10&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
Business Analyst,Accenture,Sydney NSW,Posted 7d ago,,Business Analyst,https://au.jora.com/job/Business-Analyst-373455b9e2bbd94f70c69047e5e0bdee?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=7e28c7988c62df63e52587d64004e530&sp=sserp&sponsored=true&sq=business+analyst&sr=11&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
CX Business Analyst – Speech & Text Analytics,NTT,Sydney CBD NSW,Posted 1d ago,,CX Business Analyst – Speech & Text Analytics,https://au.jora.com/job/Business-Analyst-aca94dd78bd18d9e4faee122650cd817?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=157f57d74027343e1b0d46d4b807016f&sp=serp&sponsored=false&sq=business+analyst&sr=12&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
Business Analyst FP&A,Hays Recruitment,Sydney CBD NSW,Posted 17h ago,,Business Analyst FP&A,https://au.jora.com/job/Business-Analyst-FP-e5544e7a4c7b9961967ebd06433ebb15?abstract_type=extended_llm&disallow=true&fsv=true&sl=Sydney&sol_key=0a0dcf1da13581abed2f174cf48a5d22&sp=serp&sponsored=false&sq=business+analyst&sr=13&tk=vLNi2b5xEkAIbetveREL-y0Axx5fuoNzf7ZTkxRdZ&trigger_source=serp,Jora (Selenium),business analyst
